id,title,location,city,price,original_price,discount,m2,rooms,air,terrace,storage,garage,outside,wardrobes,pool,garden,status,satus,has_elevator,property_type,floor_number,price_m2
105849746,Dúplex en venta en calle de Nicaragua,Les Corts,Barcelona,900000.0,900000,0,99.0,2.0,0,0,1,1,1,0,0,0,0,Buen estado,1,2,2.0,9090.90909090909
105454709,Piso en venta en Les Corts,Les Corts,Barcelona,1000000.0,1000000,0,175.0,4.0,1,0,1,0,1,0,0,0,0,Buen estado,1,2,3.0,5714.285714285715
105811154,Piso en venta en calle d'Emèrita Augusta,La Maternitat i Sant Ramon,Barcelona,570000.0,570000,0,102.0,3.0,1,1,0,0,0,1,0,0,0,Buen estado,1,1,5.0,5588.235294117647
105778287,Piso en venta en calle Pintor Ribalta,La Maternitat i Sant Ramon,Barcelona,269000.0,269000,0,77.0,3.0,0,0,0,0,0,0,0,0,0,Buen estado,0,0,2.0,3493.5064935064934
105263257,Piso en venta en calle de Berlín,Les Corts,Barcelona,410000.0,410000,0,89.0,3.0,1,1,0,0,1,0,0,0,0,Buen estado,1,2,7.0,4606.741573033708
105888329,Piso en venta en avenida Diagonal,Pedralbes,Barcelona,1190000.0,1190000,0,176.0,4.0,1,1,1,1,1,1,1,0,0,Buen estado,1,2,4.0,6761.363636363636
104863247, Casa o chalet independiente en venta en avenida de Pearson,Pedralbes,Barcelona,7700000.0,7700000,0,1.011,7.0,1,1,1,1,0,0,1,0,0,Buen estado,0,0,2.0,7616221.5628091
105045953,Piso en venta en calle dels Doctors Trias i Pujol,Pedralbes,Barcelona,895000.0,950000,0,134.0,4.0,0,1,0,0,1,1,0,0,0,Buen estado,1,2,3.0,6679.104477611941
105884996,Piso en venta en La Maternitat i Sant Ramon,Les Corts,Barcelona,399000.0,399000,0,110.0,3.0,0,0,0,0,1,0,0,0,0,Buen estado,1,2,3.0,3627.2727272727275
105873826,Piso en venta en calle de Novell,Les Corts,Barcelona,400000.0,400000,0,55.0,2.0,1,1,0,0,1,0,0,0,0,Buen estado,1,2,3.0,7272.727272727273
104564533,Piso en venta en calle de Joan Güell,Les Corts,Barcelona,550000.0,550000,0,60.0,3.0,1,1,1,0,1,1,0,0,0,Buen estado,1,2,6.0,9166.666666666666
105485269,Piso en venta en Les Corts,Les Corts,Barcelona,255000.0,255000,0,55.0,3.0,1,1,1,0,1,0,0,0,0,Buen estado,0,2,3.0,4636.363636363636
104538980,Piso en venta en La Maternitat i Sant Ramon,Les Corts,Barcelona,633000.0,633000,0,60.0,1.0,0,0,0,0,1,1,0,0,0,Buen estado,1,2,0.0,10550.0
105193818,Piso en venta en calle de Loreto,Les Corts,Barcelona,405000.0,405000,0,60.0,1.0,1,0,0,0,1,1,0,0,0,Buen estado,0,0,2.0,6750.0
105440163,Piso en venta en avenida de Madrid,La Maternitat i Sant Ramon,Barcelona,369000.0,369000,0,80.0,3.0,1,0,0,0,1,1,0,0,0,Buen estado,0,0,2.0,4612.5
103892617,"Piso en venta en travesía de les Corts, 5",La Maternitat i Sant Ramon,Barcelona,360000.0,360000,0,79.0,3.0,0,0,0,0,1,1,0,0,0,A reformar,1,2,3.0,4556.962025316456
104248549,Piso en venta en avenida Diagonal,Les Corts,Barcelona,1295000.0,1295000,0,225.0,3.0,1,1,1,1,1,1,0,0,0,Buen estado,1,2,1.0,5755.555555555556
105973287,Piso en venta en calle de Joan Güell,Les Corts,Barcelona,267000.0,267000,0,89.0,2.0,0,0,0,0,1,0,0,0,0,Buen estado,0,2,1.0,3000.0
105434382,Ático en venta en avenida de Madrid,Les Corts,Barcelona,615000.0,615000,0,92.0,4.0,1,1,0,0,1,1,0,0,0,Buen estado,1,2,8.0,6684.782608695652
105118247,Piso en venta en calle de Gelabert,Les Corts,Barcelona,259000.0,259000,0,80.0,2.0,1,1,0,0,0,0,0,0,0,Buen estado,0,1,0.0,3237.5
105227180,Piso en venta en Gran Via de Carles III,Les Corts,Barcelona,335000.0,335000,0,71.0,3.0,1,0,0,0,1,0,0,0,0,Buen estado,1,2,0.0,4718.30985915493
105585157,Dúplex en venta en plaza Square de Pedralbes,Pedralbes,Barcelona,3950000.0,3950000,0,546.0,5.0,0,1,0,0,1,0,0,0,0,Buen estado,1,2,4.0,7234.4322344322345
