,Unnamed: 0.1,Unnamed: 0,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,satus,energy,co2,status
119,119,119,105201803,Piso en venta en travesía de les Corts,Les Corts,Barcelona,399000.0,399000,0,81.0,3.0,Planta 3ª exterior con ascensor,True,False,False,True,False,True,False,False,False,A reformar,999,99,
120,120,120,105533751,Piso en venta en Gran Via de Carles III,Les Corts,Barcelona,608000.0,608000,0,124.0,3.0,Planta 6ª exterior con ascensor,False,True,False,True,True,True,False,False,False,Buen estado,,,
121,121,121,105580121,Dúplex en venta en calle de Sor Eulàlia d'Anzizu,Pedralbes,Barcelona,5800000.0,5800000,0,766.0,8.0,Planta 5ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,,
122,122,122,103740877,Piso en venta en Gran Vía de Carlos III,La Maternitat i Sant Ramon,Barcelona,890000.0,890000,0,198.0,5.0,Planta 2ª exterior con ascensor,False,True,True,True,False,True,False,False,False,Buen estado,151,32,
123,123,123,96535945, Chalet adosado en venta en calle dels Cavallers,Pedralbes,Barcelona,4100000.0,4100000,0,750.0,7.0,,True,False,False,False,True,False,True,True,False,Buen estado,,,
124,124,124,104214558,Piso en venta en Les Corts,Les Corts,Barcelona,1000000.0,1000000,0,172.0,5.0,Planta 5ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,"0,18",,
125,125,125,99097372, Casa o chalet independiente en venta en Pedralbes,Les Corts,Barcelona,830000.0,830000,0,180.0,4.0,,True,True,False,False,False,False,False,False,False,Buen estado,,,
126,126,126,105834194,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,650000.0,650000,0,105.0,3.0,Planta 3ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,,
127,127,127,105752287,Piso en venta en calle de Novell,Les Corts,Barcelona,400000.0,"
405000 €
",0,62.0,2.0,Planta 3ª exterior con ascensor,True,True,False,True,False,True,False,False,False,Buen estado,100,10,
128,128,128,105619999,Piso en venta en calle de Nicaragua,Les Corts,Barcelona,465000.0,465000,0,71.0,2.0,Planta 6ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,,
129,129,129,103725189,Piso en venta en avenida de Sarrià,Les Corts,Barcelona,1000000.0,1000000,0,175.0,4.0,Planta 3ª exterior con ascensor,False,False,True,True,False,True,True,False,False,Buen estado,,,
130,130,130,39346892,Piso en venta en calle dels Cavallers,Pedralbes,Barcelona,2500000.0,2500000,0,257.0,4.0,Planta 1ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,,,
131,131,131,104867150, Casa o chalet independiente en venta en avenida d'Esplugues,Pedralbes,Barcelona,3900000.0,3900000,0,700.0,6.0,,True,True,True,False,True,False,False,False,False,A reformar,,,
132,132,132,101497098,Dúplex en venta en calle de l'Abadessa Olzet,Pedralbes,Barcelona,2100000.0,2100000,0,330.0,4.0,Planta 1ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,120,25,
133,133,133,105890981,Ático en venta en avenida de Madrid,Les Corts,Barcelona,615000.0,615000,0,110.0,4.0,Planta 1ª exterior con ascensor,True,True,False,True,False,True,False,False,False,Buen estado,191,39,
134,134,134,104182507,Piso en venta en La Maternitat i Sant Ramon,Les Corts,Barcelona,449000.0,449000,0,96.0,2.0,Planta 5ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,,
135,135,135,105356596,Piso en venta en Les Corts,Les Corts,Barcelona,950000.0,950000,0,200.0,4.0,,False,False,True,True,False,True,False,False,False,A reformar,,,
