id,title,location,city,price,original_price,discount,m2,rooms,air,terrace,storage,garage,outside,wardrobes,pool,garden,status,satus,has_elevator,property_type,floor_number,price_m2,cluster
101849486,Piso en venta en via Laietana,Sant,Pere,795000.0,795000,0,90.0,2.0,1,0,0,0,1,1,0,0,0,,1,2,1.0,8833.333333333334,0
102756132,Piso en venta en calle de l'Arc de Sant Ramon del Call,El,"Gòtic,",628000.0,628000,0,135.0,3.0,1,0,0,0,1,1,0,0,0,,1,2,1.0,4651.851851851852,0
102924204,Piso en venta en calle d'Avinyó,El,"Gòtic,",705000.0,705000,0,156.0,3.0,0,1,0,0,1,1,0,0,0,,1,2,2.0,4519.2307692307695,0
104918503,Piso en venta en calle de la Blanqueria,Sant,Pere,495000.0,495000,0,98.0,2.0,0,0,0,0,1,1,0,0,0,,1,2,2.0,5051.0204081632655,2
104628125,Piso en venta en calle de Lancaster,El,"Raval,",255000.0,255000,0,61.0,2.0,1,0,0,0,1,0,0,0,0,,0,2,2.0,4180.327868852459,2
100001404,Piso en venta en rambla del Raval,El,"Raval,",249000.0,249000,0,66.0,2.0,1,1,0,0,0,1,0,0,0,,0,0,2.0,3772.727272727273,3
103518022,Piso en venta en El Gòtic,Ciutat,"Vella,",795000.0,795000,0,141.0,2.0,0,0,0,0,1,0,0,0,0,,1,2,3.0,5638.297872340426,2
105658041,Piso en venta en El Raval,Ciutat,"Vella,",189000.0,195000,0,45.0,1.0,1,1,0,0,1,0,0,0,0,,0,2,2.0,4200.0,0
104344732,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",355000.0,355000,0,79.0,2.0,1,0,0,0,1,0,0,0,0,,1,2,1.0,4493.670886075949,0
104610824,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",559000.0,559000,0,121.0,4.0,0,1,0,0,1,0,0,0,0,,1,2,5.0,4619.834710743801,2
105939300,Piso en venta en calle Ample,El,"Gòtic,",720000.0,720000,0,118.0,3.0,1,0,0,0,1,1,0,0,0,,1,2,2.0,6101.6949152542375,0
105932101,Piso en venta en calle de Sant Pere Més Baix,Sant,Pere,495000.0,495000,0,91.0,1.0,1,1,0,0,1,1,0,0,0,,1,2,3.0,5439.56043956044,0
105659926,Piso en venta en paseo de Picasso,Sant,Pere,598000.0,620000,0,104.0,1.0,1,1,0,0,1,1,0,0,0,,0,0,2.0,5750.0,0
103718170,Piso en venta en Consolat del Mar,Sant,Pere,290000.0,290000,0,87.0,1.0,0,0,0,0,1,0,0,0,0,,0,2,3.0,3333.333333333333,2
104853787,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",599000.0,599000,0,126.0,3.0,1,0,0,0,1,0,0,0,0,,0,2,1.0,4753.9682539682535,2
105839663,Piso en venta en calle Nou de la Rambla,El,"Raval,",380000.0,380000,0,67.0,2.0,1,0,0,0,1,0,0,0,0,,0,0,2.0,5671.641791044776,3
105839647,Piso en venta en calle Nou de la Rambla,El,"Raval,",375000.0,375000,0,61.0,2.0,1,0,0,0,1,0,0,0,0,,0,0,2.0,6147.540983606557,3
105839423,Piso en venta en calle Nou de la Rambla,El,"Raval,",365000.0,365000,0,67.0,2.0,1,0,0,0,1,0,0,0,0,,0,0,2.0,5447.761194029851,3
99411495,Piso en venta en rambla La,El,"Gòtic,",1040000.0,1040000,0,165.0,4.0,1,0,0,0,1,1,0,0,0,,0,0,2.0,6303.030303030303,3
105643529,Piso en venta en calle de Trafalgar,Sant,Pere,2780000.0,2780000,0,347.0,4.0,1,0,1,0,1,0,0,0,0,,1,2,1.0,8011.527377521614,0
