,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,energy,co2,status,satus
1309,101548943,Piso en venta en calle del Carme,El,"Raval,",365000,365000,0,118.0,2.0,Planta -2 exterior con ascensor,False,False,False,True,False,True,True,False,False,,,,Buen estado
1310,105855314,Piso en venta en calle de les Jonqueres,Sant,Pere,290000,290000,0,74.0,2.0,Planta 1ª sin ascensor,False,False,False,True,False,False,False,False,False,,,,Buen estado
1311,105250502,Piso en venta en calle de la Mare de Déu del Pilar,Sant,Pere,480000,480000,0,191.0,4.0,Planta 1ª exterior con ascensor,False,True,True,True,False,True,True,False,False,21,,,A reformar
1312,105690031,Piso en venta en calle de les Jonqueres,Sant,Pere,290000,290000,0,74.0,2.0,Planta 1ª sin ascensor,False,False,False,True,False,False,False,False,False,,,,Buen estado
1313,104696238,Piso en venta en calle d'En Roig,El,"Raval,",149000,"
155000 €
",0,41.0,1.0,Planta 1ª interior sin ascensor,True,False,False,True,False,False,False,False,False,,,,Buen estado
1314,105310209,Piso en venta en calle de la Canuda,El,"Gòtic,",440000,440000,0,86.0,2.0,Planta 3ª exterior con ascensor,True,True,False,True,False,True,True,False,False,,,,Buen estado
1315,103753743,Piso en venta en Tallers s/n,El,"Raval,",299000,299000,0,90.0,3.0,Planta 2ª exterior sin ascensor,True,False,False,True,False,True,False,False,False,129,27,,Buen estado
1316,105614008,Piso en venta en calle dels Escudellers,El,"Gòtic,",690000,690000,0,95.0,2.0,Planta 3ª exterior con ascensor,False,False,False,True,False,True,False,False,False,,,,Buen estado
1317,104307046,Piso en venta en calle del Doctor Giné i Partagàs,La,"Barceloneta,",219000,"
222000 €
",0,71.0,1.0,Bajo exterior sin ascensor,True,False,False,True,False,True,True,False,False,,,,Buen estado
1318,102668958,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",2200000,2200000,0,310.0,4.0,Planta 1ª exterior con ascensor,True,True,False,True,False,True,False,False,False,,,,Buen estado
1319,105101934,"Piso en venta en rambla del raval, 32",El,"Raval,",210000,"
225000 €
",0,55.0,1.0,Planta 4ª exterior con ascensor,True,False,False,True,False,True,True,False,False,22,34,,Buen estado
1320,105424963,Piso en venta en El Raval,Ciutat,"Vella,",165000,"
169000 €
",0,45.0,1.0,,True,False,False,True,False,False,False,False,False,109,27,,Buen estado
1321,105061426,Piso en venta en calle Avinyo s/n,El,"Gòtic,",650000,650000,0,59.0,1.0,Planta 1ª exterior con ascensor,False,False,False,True,False,True,False,False,False,,,,Nueva
1322,105061428,Ático en venta en calle Avinyo s/n,El,"Gòtic,",995000,995000,0,70.0,1.0,Planta 2ª exterior con ascensor,False,True,False,True,False,True,False,False,False,,,,Nueva
1323,104791849,Dúplex en venta en El Raval,Ciutat,"Vella,",350000,350000,0,142.0,5.0,Bajo exterior con ascensor,True,False,False,True,False,True,False,False,False,36,,,Buen estado
1324,105101934,"Piso en venta en rambla del raval, 32",El,"Raval,",210000,"
225000 €
",0,55.0,1.0,Planta 4ª exterior con ascensor,True,False,False,True,False,True,True,False,False,22,34,,Buen estado
1325,104951829,Piso en venta en La Barceloneta,Ciutat,"Vella,",369000,369000,0,68.0,3.0,Planta 3ª exterior con ascensor,False,False,True,True,False,True,False,False,False,166,34,,Buen estado
1326,105514793,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",495000,495000,0,124.0,2.0,Planta 1ª sin ascensor,False,True,False,True,False,False,False,False,False,44,,,Buen estado
1327,105061376,Piso en venta en calle Avinyo s/n,El,"Gòtic,",625000,625000,0,66.0,2.0,,False,True,False,True,False,True,False,False,False,,,,Nueva
1328,105434763,Piso en venta en calle d'Avinyó s/n,El,"Gòtic,",650000,650000,0,60.0,2.0,Planta 1ª exterior con ascensor,False,False,False,True,False,True,False,False,False,,,,Buen estado
1329,99908506,Piso en venta en El Gòtic,Ciutat,"Vella,",1000000,1000000,0,103.0,3.0,Planta 2ª exterior con ascensor,True,True,False,True,True,True,True,True,False,,,,Buen estado
1330,105061419,Piso en venta en calle Avinyo s/n,El,"Gòtic,",695000,695000,0,66.0,2.0,Planta 1ª exterior con ascensor,False,False,False,True,False,True,False,False,False,,,,Nueva
1331,104489653,Piso en venta en calle de la Reina Amàlia,El,"Raval,",345000,345000,0,92.0,3.0,Planta 4ª exterior con ascensor,False,False,False,True,True,True,True,False,False,,,,Buen estado
1332,105061411,Piso en venta en calle Avinyo s/n,El,"Gòtic,",595000,595000,0,59.0,1.0,,False,True,False,True,False,True,False,False,False,,,,Nueva
1333,105682251,Piso en venta en calle dels Boters,El,"Gòtic,",560000,"
580000 €
",0,152.0,3.0,Planta 2ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,119,,,A reformar
1334,100860477,Ático en venta en El Raval,Ciutat,"Vella,",515000,515000,0,58.0,2.0,Planta 4ª exterior con ascensor,True,True,False,True,False,True,False,True,False,,,,Buen estado
1335,104477113,Piso en venta en El Raval,Ciutat,"Vella,",450000,450000,0,83.0,2.0,Bajo exterior sin ascensor,False,False,False,True,False,True,True,False,False,,,,Buen estado
1336,104772192,Piso en venta en calle de la Cera,El,"Raval,",475000,"
490000 €
",0,78.0,2.0,,False,False,False,True,False,False,False,True,False,,,,Buen estado
1337,105968636,Piso en venta en La Barceloneta,Ciutat,"Vella,",160000,160000,0,24.0,1.0,Bajo exterior sin ascensor,False,False,False,True,False,True,False,False,False,,,,A reformar
1338,105394861,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",699000,699000,0,150.0,5.0,Planta 3ª exterior con ascensor,False,False,False,True,True,True,False,False,False,156,32,,Buen estado
1339,105061413,Piso en venta en calle Avinyo s/n,El,"Gòtic,",1150000,1150000,0,125.0,3.0,,False,True,False,True,False,True,False,False,False,,,,Nueva
1340,105906276,"Piso en venta en calle de la Mediterrània, 4",La,"Barceloneta,",339000,339000,0,55.0,1.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,True,False,False,162,34,,Buen estado
1341,93771919,Piso en venta en via Laietana,Sant,Pere,295000,295000,0,66.0,1.0,Planta 1ª exterior con ascensor,True,False,False,True,False,True,False,False,False,46,,,Buen estado
1342,104355583,Piso en venta en calle d'en Gignàs s/n,El,"Gòtic,",360000,360000,0,79.0,1.0,Planta 2ª exterior con ascensor,False,False,False,True,False,True,True,False,False,23,123,,Buen estado
1343,100268644,Piso en venta en calle de Sant Pau,El,"Raval,",260000,260000,0,49.0,2.0,Planta 2ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,,,,Buen estado
1344,105361705,Piso en venta en calle de la Cera,El,"Raval,",155000,155000,0,62.0,3.0,Planta 1ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,,,,Buen estado
1345,104531357,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",257000,257000,0,60.0,3.0,Planta 2ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,194,41,,Buen estado
1346,105286978,"Piso en venta en calle de Sant Miquel, 83",La,"Barceloneta,",179000,179000,0,36.0,1.0,Bajo exterior sin ascensor,False,False,False,True,False,True,False,False,False,120,120,,Buen estado
1347,100453195,Piso en venta en calle dels Tallers,El,"Raval,",220000,220000,0,40.0,1.0,Planta 2ª exterior sin ascensor,True,True,False,True,False,True,False,False,False,,,,Buen estado
1348,105848334,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",290000,290000,0,74.0,2.0,Planta 1ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,138,26,,Buen estado
1349,105286978,"Piso en venta en calle de Sant Miquel, 83",La,"Barceloneta,",179000,179000,0,36.0,1.0,Bajo exterior sin ascensor,False,False,False,True,False,True,False,False,False,120,120,,Buen estado
1350,100155665,Piso en venta en calle de la Riereta,El,"Raval,",289000,289000,0,62.0,2.0,Planta 3ª exterior sin ascensor,True,True,False,True,False,True,False,False,False,,,,Buen estado
1351,104355583,Piso en venta en calle d'en Gignàs s/n,El,"Gòtic,",360000,360000,0,79.0,1.0,Planta 2ª exterior con ascensor,False,False,False,True,False,True,True,False,False,23,123,,Buen estado
1352,104256852,"Piso en venta en calle de Sant Antoni Abat, 52",El,"Raval,",136000,136000,0,51.0,3.0,Planta 2ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,,,,Buen estado
1353,100859087,Piso en venta en El Raval,Ciutat,"Vella,",448000,448000,0,56.0,1.0,,True,True,False,True,False,False,False,True,False,,,,Buen estado
1354,105848334,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",290000,290000,0,74.0,2.0,Planta 1ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,138,26,,Buen estado
1355,97514820,Piso en venta en calle Joaquín Costa,El,"Raval,",690000,690000,0,335.0,4.0,Planta 4ª exterior con ascensor,True,False,False,True,False,True,False,False,False,,,,Buen estado
1356,105395350,Piso en venta en calle del Carme,El,"Raval,",910000,910000,0,157.0,3.0,Planta 4ª exterior con ascensor,True,False,False,True,False,True,True,False,False,186,39,,Buen estado
1357,104156774,"Piso en venta en ronda Sant Antoni, 60",El,"Raval,",695000,695000,0,132.0,3.0,Planta 3ª exterior con ascensor,True,False,False,True,False,True,True,False,False,,,,Buen estado
1358,105935068,Piso en venta en calle de Vistalegre,El,"Raval,",154500,154500,0,60.0,2.0,Planta 4ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,,,,A reformar
1359,100410048,Piso en venta en La Barceloneta,Ciutat,"Vella,",130000,130000,0,35.0,1.0,Bajo exterior sin ascensor,False,False,False,True,False,True,False,False,False,,,,A reformar
1360,105927216,Piso en venta en calle d'En Giralt el Pellicer,Sant,Pere,163000,163000,0,61.0,2.0,Planta 2ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,,,,A reformar
1361,105936352,Piso en venta en calle de les Carretes,El,"Raval,",171500,171500,0,59.0,1.0,Planta 1ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,,,,A reformar
1362,105432454,Piso en venta en calle de l'Hospital,El,"Raval,",1000000,1000000,0,186.0,4.0,Planta 1ª exterior sin ascensor,True,True,True,True,False,True,False,False,False,,,,Buen estado
1363,105068535,Piso en venta en calle d'Erasme de Janer,El,"Raval,",250000,250000,0,63.0,2.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,False,False,False,134,28,,Buen estado
1364,99758068,Estudio en venta en calle de les Carretes,El,"Raval,",184000,184000,0,85.0,,Bajo interior con ascensor,True,True,False,True,False,False,False,False,False,,,,A reformar
